"@timestamp",Class,"Class.keyword",Device,Level,Line,Message,Method,Pod,Service,Subscriber,Thread,"_id","_index","_score","_type"
"Jan 15, 2023 @ 22:16:29.765","com.genband.app.callbroker.fsm.subs.actions.SubsInitAction","com.genband.app.callbroker.fsm.subs.actions.SubsInitAction",cxfwzgzode,DEBUG,34," Saved State Machine With UUID: 16af6515-7232-4247-854f-2d947cfb7e80 And SmId: SWhyYmx6TWxRN2dib295SDpjeGZ3emd6b2Rl   ",execute,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","pYXctoUB-R0zLxEjnt0r","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.765","com.genband.app.callbroker.fsm.shared.StateMachineManager","com.genband.app.callbroker.fsm.shared.StateMachineManager",cxfwzgzode,DEBUG,54," Saved State machine with  and SmId: SWhyYmx6TWxRN2dib295SDpjeGZ3emd6b2Rl   ",saveStateMachine,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","p4XctoUB-R0zLxEjnt0r","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.763","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool",cxfwzgzode,DEBUG,70," The channel is returned to pool, Channel pool size[IDLE]: 16, Active: 19, Waiters: 0  ",returnObject,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","nIXctoUB-R0zLxEjnt0o","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.763","com.genband.app.callbroker.fsm.shared.MachineCache","com.genband.app.callbroker.fsm.shared.MachineCache",cxfwzgzode,DEBUG,40," Saving State Machine for Identifier: SWhyYmx6TWxRN2dib295SDpjeGZ3emd6b2Rl  ",saveStateMachine,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","ooXctoUB-R0zLxEjnt0p","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.763","com.genband.app.callbroker.fsm.subs.actions.SubsInitAction","com.genband.app.callbroker.fsm.subs.actions.SubsInitAction",cxfwzgzode,DEBUG,30," Returning To Initial State...  ",execute,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","noXctoUB-R0zLxEjnt0o","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.762","com.genband.util.broker.rabbitmq.infrastructure.delievery.AsyncRabbitMessageProcessor","com.genband.util.broker.rabbitmq.infrastructure.delievery.AsyncRabbitMessageProcessor",cxfwzgzode,INTERNALTRACE,67," Message to deliver: {""version"":""1"",""messageRealm"":""external"",""serviceAction"":""webrtcsignaling"",""messageParams"":{""subscriber"":""IhrblzMlQ7gbooyH"",""calledMessageQueue"":""callbroker-callbroker-5998f859cf-kv5hl"",""type"":""response"",""messageID"":""77d97b4d-2e0f-4773-aa07-07e055a84cd7"",""correlationID"":""09b66cd36353cabd34a6599f3282705f"",""transactionID"":""16a9d31a-b667-47f9-bb0c-96db9df7408f"",""originatingMS"":""callbroker"",""terminatingMS"":""restamqpgw"",""authorization"":null,""proxyHttpHeaders"":null},""serviceData"":{""externalProtocol"":""http"",""httpParams"":{""type"":""response"",""statusCode"":503,""statusText"":""503 SERVICE_UNAVAILABLE"",""payload"":{""contentType"":""json"",""contentData"":{""requestError"":{""serviceException"":{""messageId"":""SVC2000-09b66cd36353cabd34a6599f3282705f"",""text"":""The following service error occurred: %1. Error code is %2."",""variables"":[""Configuration error occurred. Please contact your system administrator."",""503"",""503""]}}}}}}}  ",sendLocalMessage,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","nYXctoUB-R0zLxEjnt0o","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.762","com.genband.util.broker.rabbitmq.infrastructure.delievery.RabbitmqDeliveryChannelManager","com.genband.util.broker.rabbitmq.infrastructure.delievery.RabbitmqDeliveryChannelManager",cxfwzgzode,DEBUG,42," Listners registration.  ",acquireLocalChannel,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","l4XctoUB-R0zLxEjnt0n","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.761","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool",cxfwzgzode,DEBUG,45," The channel is borrowed from the pool, Channel pool size[IDLE]: 15, Active: 20, Waiters: 0  ",borrowObject,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","oIXctoUB-R0zLxEjnt0p","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.760","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool","com.genband.util.broker.rabbitmq.RabbitmqChannelsPool",cxfwzgzode,DEBUG,44," Active Channel size: 20  ",borrowObject,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","lIXctoUB-R0zLxEjnt0m","logging-000338","-","_doc"
"Jan 15, 2023 @ 22:16:29.760","com.genband.util.broker.util.MessageFactory","com.genband.util.broker.util.MessageFactory",cxfwzgzode,DEBUG,357," Get correlationId from threadcontext  ",getCorrelationIDFromThreadContext,"callbroker-5998f859cf-kv5hl",callbroker,IhrblzMlQ7gbooyH,"rabbitmqWorker-1-thread-226","koXctoUB-R0zLxEjnt0m","logging-000338","-","_doc"
