version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,a592f282-49f3-4fd5-b170-d2a5121e1900,8c60cdc8b348fad1b86c68742117eacb,4e1b5266-a41b-45bf-aafe-d264dfd89be7,restamqpgw,notificationbroker,0.0,36,32,30,yes
1,external,notificationchannel,IhrblzMlQ7gbooyH,notificationbroker-notificationbroker-789b5c6fcf-r4s8n,response,f482385a-0507-492e-acb8-f0a9c1d1ea9f,8c60cdc8b348fad1b86c68742117eacb,4e1b5266-a41b-45bf-aafe-d264dfd89be7,notificationbroker,restamqpgw,429.0,36,32,36,yes
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,52f1354a-99d4-4845-bdb5-0f96be0a07c8,8f0bebba26182f6069db3eb16e356e35,3b0f882e-16c6-4b1f-a0ba-f5037aa43e05,restamqpgw,notificationbroker,0.0,36,32,36,no
1,external,notificationchannel,IhrblzMlQ7gbooyH,notificationbroker-notificationbroker-789b5c6fcf-r4s8n,response,b38d8314-7a9b-4727-b32e-5cfe9a3106fa,8f0bebba26182f6069db3eb16e356e35,3b0f882e-16c6-4b1f-a0ba-f5037aa43e05,notificationbroker,restamqpgw,201.0,36,32,36,no
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,ac7eeca2-f162-41ee-92a3-b750c0d81ea2,329ccdade4f418b5594b0ce7ebb0d754,6871b16b-6f99-41f3-92b6-d9fe5d6edecb,restamqpgw,notificationbroker,0.0,36,24,36,yes
1,external,notificationchannel,IhrblzMlQ7gbooyH,notificationbroker-notificationbroker-789b5c6fcf-r4s8n,response,5fcbfe49-d81b-473d-a136-bc08a7e81d8c,329ccdade4f418b5594b0ce7ebb0d754,6871b16b-6f99-41f3-92b6-d9fe5d6edecb,notificationbroker,restamqpgw,200.0,36,32,36,no
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,e7dedad7-4640-491f-8f1f-2c4f90a3e5f0,bf7e0f296a2a5a4e1ccd9ab98712eee7,d87000ab-7ddb-4bbb-bccf-82e77eb78818,restamqpgw,notificationbroker,0.0,36,32,36,no
1,external,notificationchannel,IhrblzMlQ7gbooyH,notificationbroker-notificationbroker-789b5c6fcf-r4s8n,response,834b7858-e73c-4f68-93ae-3b6ee1cd836a,bf7e0f296a2a5a4e1ccd9ab98712eee7,d87000ab-7ddb-4bbb-bccf-82e77eb78818,notificationbroker,restamqpgw,403.0,36,32,36,yes
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,e15f3639-727c-4c58-a927-ce052c29a555,4463541356df60650f3b50ad5b368e7e,6593cc88-7a41-47aa-acb0-7f0bbae49c20,restamqpgw,notificationbroker,0.0,36,32,36,no
1,internal,removeChannel,IhrblzMlQ7gbooyH,notificationbroker-notificationbroker-789b5c6fcf-r4s8n,response,267be7fe-c3e6-46b5-b598-cb918fe61b27,4463541356df60650f3b50ad5b368e7e,6593cc88-7a41-47aa-acb0-7f0bbae49c20,notificationbroker,restamqpgw,204.0,36,32,36,no
1,external,notificationchannel,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,3e234083-e571-4b9f-a63e-6094de73bd4a,d6830bb0506103b975978b2059b94153,52b91ede-2c39-40d3-be70-79df432cdce7,restamqpgw,notificationbroker,0.0,36,32,36,no
